name,city,state,lat,lon,proof_url
1420 NE 65th Street,Seattle,WA,47.675848457276,-122.312837668778,https://oll-leasing.loftliving.com/oll/?siteId=4707467&MoveInDate=10/08/2026&UnitId=51&oll-source-attribution=apartments.com
702 Spring Street,Seattle,WA,47.608281375722,-122.330178900697,https://oll-leasing.loftliving.com/oll/?siteId=5540749&MoveInDate=09/11/2026&UnitId=361&oll-source-attribution=apartments.com
Centennial,Seattle,WA,47.616404943553,-122.324402532955,https://liveatcentennialapartments.loftliving.com/support/pincode
14820 Redmond Way,Redmond,WA,47.675197392927,-122.142436150235,https://oll-leasing.loftliving.com/oll/?siteId=4590784&MoveInDate=09/07/2026&UnitId=81&oll-source-attribution=apartments.com
2808 Calder Ave NE,Redmond,WA,47.6357248,-122.1345447,https://oll-leasing.loftliving.com/oll/?siteId=4901432&MoveInDate=09/01/2026&UnitId=22&oll-source-attribution=apartments.com
Bayside Garden Apartments,Tacoma,WA,47.264904382898,-122.446152401823,https://baysidegarden.loftliving.com/support/pincode
Fairways Apartments,Tacoma,WA,47.29922594545,-122.39177345062,https://fairwaysapartments.loftliving.com/support/pincode
Vintage Apartments,Tacoma,WA,47.256961008625,-122.444681600503,https://vintageapts.loftliving.com/support/pincode
Windsor Apartments,Tacoma,WA,47.263716926399,-122.446651412197,https://windsorapartments.loftliving.com/support/pincode
Catalina Apartments,Tacoma,WA,47.247096603222,-122.446245772265,https://catalinaapartments.loftliving.com/support/pincode
The Rosewood Apartments,Vancouver,WA,45.666902758737,-122.654143174278,https://theridge.loftliving.com/
Union Park Apartments,Vancouver,WA,45.706335621401,-122.544859915963,https://unionparkapartments.loftliving.com/support/pincode
Apartments,Vancouver,WA,45.706335621401,-122.544859915963,https://oll-leasing.loftliving.com/oll/?siteId=4873415&MoveInDate=08/01/2026&UnitId=110&oll-source-attribution=apartments.com
300 East 13th Street,Vancouver,WA,45.631104823651,-122.66931406028,https://oll-leasing.loftliving.com/oll/?siteId=4866228&MoveInDate=10/10/2026&UnitId=116&oll-source-attribution=apartments.com
604 Southeast 121st Avenue,Vancouver,WA,45.617166957724,-122.548890938258,https://oll-leasing.loftliving.com/oll/?siteId=4718893&MoveInDate=09/08/2026&UnitId=162&oll-source-attribution=apartments.com
Forest Grove Apartments,Lacey,WA,47.020141132954,-122.807647200939,https://forestgroveapartments.loftliving.com/support/pincode
12925 East Mansfield Avenue,Spokane Valley,WA,47.677558243959,-117.237692231958,https://oll-leasing.loftliving.com/oll/?siteId=4986698&MoveInDate=08/23/2026&UnitId=45&oll-source-attribution=apartments.com
707 W 5Th Ave,Spokane,WA,47.651354555796,-117.4221445268,https://oll-leasing.loftliving.com/oll/?siteId=4311480&MoveInDate=10/09/2026&UnitId=144&oll-source-attribution=apartments.com
Glacier Vista Apartments,Everett,WA,47.973615482447,-122.208324738355,https://glaciervistawa.loftliving.com/support/pincode
Westwood Apartments,Everett,WA,47.975030193047,-122.206978443303,https://westwoodwa.loftliving.com/support/pincode
120 West Casino Road,Everett,WA,47.921825863953,-122.23571405044,https://oll-leasing.loftliving.com/oll/?siteId=4695890&MoveInDate=10/04/2026&UnitId=65&oll-source-attribution=apartments.com
3214 Broadway,Everett,WA,47.975109165253,-122.201501271476,https://oll-leasing.loftliving.com/oll/?siteId=4615779&MoveInDate=09/10/2026&UnitId=43&oll-source-attribution=apartments.com
9900 12th Avenue West,Everett,WA,47.908223196766,-122.249886208785,https://oll-leasing.loftliving.com/oll/?siteId=5035731&MoveInDate=10/01/2026&UnitId=255&oll-source-attribution=apartments.com
203 MAGNOLIA BLVD,Port Wentworth,GA,32.212421100582,-81.198450830953,https://oll-leasing.loftliving.com/oll/?siteId=5231655&MoveInDate=08/07/2026&UnitId=349&oll-source-attribution=apartments.com
ONS,Union City,GA,33.570257669647,-84.548123122819,https://oll-leasing.loftliving.com/oll/?siteId=4562624&MoveInDate=11/07/2026&UnitId=307&oll-source-attribution=apartments.com
Basswood Landing Apartments,Savannah,GA,32.1775476728,-81.22327933913,https://basswoodlandingapartments.loftliving.com/login
4600 Roswell Rd,Sandy Springs,GA,33.881189832805,-84.379879807134,https://oll-leasing.loftliving.com/oll/?siteId=4150482&MoveInDate=11/03/2026&UnitId=102&oll-source-attribution=apartments.com
9200 Roberts Dr,Sandy Springs,GA,33.998153806193,-84.33541090857,https://oll-leasing.loftliving.com/oll/?siteId=5523905&MoveInDate=09/01/2026&UnitId=184&oll-source-attribution=apartments.com
7445 Trowbridge Rd,Sandy Springs,GA,33.9605379,-84.3691585,https://oll-leasing.loftliving.com/oll/?siteId=5523911&MoveInDate=09/22/2026&UnitId=130&oll-source-attribution=apartments.com
Pooler,Placepooler,GA,,,https://oll-leasing.loftliving.com/oll/?siteId=5484378&MoveInDate=12/30/2025&UnitId=276&oll-source-attribution=apartments.com
Journal Square,Jersey City,NJ,40.734095180579,-74.063174169123,https://oll-leasing.loftliving.com/oll/?siteId=4385889&MoveInDate=09/12/2026&UnitId=240&oll-source-attribution=apartments.com
Spruce Park Apartments,Newark,NJ,40.727089635988,-74.182117915585,https://spruceparkapartments.loftliving.com/support/pincode
1525 Harbor Boulevard,Weehawken,NJ,40.7612403,-74.0212271,https://oll-leasing.loftliving.com/oll/?siteId=5460293&MoveInDate=10/31/2026&UnitId=28&oll-source-attribution=apartments.com
800 Harbor Boulevard,Weehawken,NJ,40.7590788,-74.0248919,https://oll-leasing.loftliving.com/oll/?siteId=4592680&MoveInDate=08/10/2026&UnitId=212&oll-source-attribution=apartments.com
Need an Account?,Elizabeth,NJ,40.665184270447,-74.21717694679,https://vintyapartments.loftliving.com/support/pincode
Union,Union,NJ,40.712036405999,-74.252360359884,https://oll-leasing.loftliving.com/oll/?siteId=1180449&MoveInDate=09/01/2026&UnitId=526&oll-source-attribution=apartments.com
Apartments,Denver,CO,39.739234581547,-104.978660570911,https://stfrancisapts.loftliving.com/support/pincode
Need an Account?,Denver,CO,39.740662181974,-104.888242426684,https://willowstreetapartments.loftliving.com/support/pincode
444 E 19th Ave,Denver,CO,39.746123283827,-104.981896044905,https://oll-leasing.loftliving.com/oll/?siteId=5417008&MoveInDate=09/30/2026&UnitId=190&oll-source-attribution=apartments.com
La Crosse Apartments,Wichita,KS,37.747474274935,-97.262310038585,https://lacrosseapartments.loftliving.com/login
Need an Account?,Denver,CO,39.693025697395,-104.933163940226,https://livethelodgeapartments.loftliving.com/support/pincode
Pinecone Apartments,Fort Collins,CO,40.543856957712,-105.037184010364,https://pineconeapartments.loftliving.com/support/pincode
4900 East Boardwalk Drive,Fort Collins,CO,40.51803435388,-105.063958600997,https://oll-leasing.loftliving.com/oll/?siteId=4820038&MoveInDate=09/13/2026&UnitId=13&oll-source-attribution=apartments.com
4470 South Lemay Avenue,Fort Collins,CO,40.525447024411,-105.057947019526,https://oll-leasing.loftliving.com/oll/?siteId=5451885&MoveInDate=09/25/2026&UnitId=56&oll-source-attribution=apartments.com
156 West Fairway Lane,Fort Collins,CO,40.517558176832,-105.078632819165,https://oll-leasing.loftliving.com/oll/?siteId=5317513&MoveInDate=07/17/2026&UnitId=248&oll-source-attribution=apartments.com
5601 W 29th Street Building 16,Greeley,CO,40.390366209393,-104.76879490117,https://oll-leasing.loftliving.com/oll/?siteId=4880515&MoveInDate=08/27/2026&UnitId=5&oll-source-attribution=apartments.com
"HCA, Capitol Square & DSBI",Arlington,MA,42.416883319441,-71.161422594639,https://capitolsquareapartments.loftliving.com/login
5151 S RIO GRANDE ST,Littleton,CO,39.621113348293,-105.011767368364,https://oll-leasing.loftliving.com/oll/?siteId=4818643&MoveInDate=09/05/2026&UnitId=82&oll-source-attribution=apartments.com
Shift Apartments,Aurora,CO,39.689771869812,-104.791154232008,https://shiftapartmentsco.loftliving.com/support/pincode
13700 E 5TH CIR,Aurora,CO,39.72368627628,-104.828193937008,https://oll-leasing.loftliving.com/oll/?siteId=4748425&MoveInDate=09/10/2026&UnitId=14&oll-source-attribution=apartments.com
550 S Dawson Street,Aurora,CO,39.6874858,-104.8186023,https://oll-leasing.loftliving.com/oll/?siteId=5478941&MoveInDate=08/27/2026&UnitId=236&oll-source-attribution=apartments.com
8825 Anatolia Ct.,Louisville,KY,38.1201891,-85.645024,https://oll-leasing.loftliving.com/oll/?siteId=5329968&MoveInDate=08/11/2026&UnitId=28&oll-source-attribution=apartments.com
Mallard Lake,Wheeling,IL,42.126479439753,-87.957292768667,https://mallardlake.activebuilding.com/login
