apt_id,name,address,city,zip,units,year_built,owner,parcels,cad_prop_ids,cad_use_code
2786866,Register Apartments,3520 Wilshire Way,Richardson,75082,306,2019,REGISTER RICHARDSON LLC THE,1,2786866,MFU
2725278,Windsor Cityline,1250 Hunt St,Richardson,75082,299,2015,IMP CITYLINE LLC,1,2725278,MFU
2693848,Standard At Cityline Apartments Ph 1,1125 E Renner Rd,Richardson,75082,276,2014,PRICE STANDARD AT CITYLINE LP,1,2693848,MFU
2776050,Northside Phase 2,3100 Northside Blvd,Richardson,75080,275,2017,NORTHSIDE CAMPUS PARTNERS 2 LP,1,2776050,MFU-IMPO
2924643,The Riley,3551 Wilshire Way 1,Richardson,75082,269,2016,GARLAND HOUSING FINANCE CORPORATION,1,2924643,MFU
2811014,Northside Phase 3,750 Synergy Park Blvd,Richardson,75080,246,2019,NORTHSIDE CAMPUS PARTNERS 3 LP,1,2811014,MFU-IMPO
1865440,Canterbury Courts Apartments,2600 E Renner Rd,Richardson,75082,240,1992,D CANTERBURY LLC,1,1865440,MFU
2739599,Lyla Apartments,3521 Wilshire Way,Richardson,75082,237,2016,LYLA OWNER LLC,1,2739599,MFU
2039698,Cortland Prairie Creek Apartments,3560 Alma Rd,Richardson,75080,236,1996,PRAIRIE CREEK APTS LLC,1,2039698,MFU
2784362,Bell Cityline,1230 E Cityline Dr,Richardson,75082,236,2017,BCF I CITYLINE LLC,1,2784362,MFU
2707424,Anthem Cityline,1250 State St,Richardson,75082,233,2014,ANTHEM AT CITYLINE/PT-SPE LLC,1,2707424,MFU
2725294,Flats At Palisades,2625 Empire Dr,Richardson,75080,232,2016,FLATS AT PALISADES LLC,1,2725294,MFU
2039699,Cortland Prairie Creek Villas Ii Apartments,3560 Alma Rd,Richardson,75080,228,1998,PRAIRIE CREEK APTS LLC,1,2039699,MFU
2058066,Breckinridge Point Apartments,4250 E Renner Rd,Richardson,75082,226,1998,BRECKINRIDGE POINT TX LLC,1,2058066,MFU
2058065,Breckenridge Point Apartments,3500 North Star Rd,Richardson,75082,214,1998,BRECKINRIDGE POINT TX LLC,1,2058065,MFU
1615274,Spring Pointe Apartments,3501 N Jupiter Rd,Richardson,75082,208,1985,THE CAMERON COUNTY HOUSING FINANCE CORPORATION,1,1615274,MFU
2784361,Cityline Park,1130 E Cityline Dr,Richardson,75082,199,2017,BCF I CITYLINE LLC,1,2784361,MFU
